Tid,Stockholm_kommun
2009-jan,17
2009-feb,14
2009-mar,16
2009-apr,16
2009-maj,22
2009-jun,17
2009-jul,14
2009-aug,44
2009-sep,23
2009-okt,21
2009-nov,18
2009-dec,18
2010-jan,14
2010-feb,16
2010-mar,19
2010-apr,18
2010-maj,23
2010-jun,24
2010-jul,22
2010-aug,27
2010-sep,23
2010-okt,21
2010-nov,21
2010-dec,14
2011-jan,20
2011-feb,15
2011-mar,21
2011-apr,18
2011-maj,24
2011-jun,21
2011-jul,19
2011-aug,25
2011-sep,19
2011-okt,18
2011-nov,20
2011-dec,17
2012-jan,20
2012-feb,16
2012-mar,20
2012-apr,16
2012-maj,17
2012-jun,18
2012-jul,19
2012-aug,18
2012-sep,15
2012-okt,18
2012-nov,17
2012-dec,17
2013-jan,14
2013-feb,15
2013-mar,18
2013-apr,19
2013-maj,18
2013-jun,16
2013-jul,17
2013-aug,20
2013-sep,23
2013-okt,16
2013-nov,15
2013-dec,16
2014-jan,20
