Tid,Stockholm_kommun
2009-01,17
2009-02,14
2009-03,16
2009-04,16
2009-05,22
2009-06,17
2009-07,14
2009-08,44
2009-09,23
2009-10,21
2009-11,18
2009-12,18
2010-01,14
2010-02,16
2010-03,19
2010-04,18
2010-05,23
2010-06,24
2010-07,22
2010-08,27
2010-09,23
2010-10,21
2010-11,21
2010-12,14
2011-01,20
2011-02,15
2011-03,21
2011-04,18
2011-05,24
2011-06,21
2011-07,19
2011-08,25
2011-09,19
2011-10,18
2011-11,20
2011-12,17
2012-01,20
2012-02,16
2012-03,20
2012-04,16
2012-05,17
2012-06,18
2012-07,19
2012-08,18
2012-09,15
2012-10,18
2012-11,17
2012-12,17
2013-01,14
2013-02,15
2013-03,18
2013-04,19
2013-05,18
2013-06,16
2013-07,17
2013-08,20
2013-09,23
2013-10,16
2013-11,15
2013-12,16
2014-01,20
